year,state_name,ac_name,total_electors,total_valid_votes,turnout,margin,num_candidates,winner_vote_share,turnout_change,avg_turnout,turnout_volatility,low_turnout_score,negative_trend_score,volatility_score,large_electorate_penalty,priority_score
2009,Andhra Pradesh,Achampet,210950,144980,68.73,58067,8,46.46,,68.73,,0.3625862984599043,0.0,0.0,0.08743550135194976,0.1537780695191567
2009,Andhra Pradesh,Achanta,142388,118745,83.4,22378,14,46.24,,81.60666666666667,1.9089613231632958,0.19162683660824908,0.0,0.0354598481865446,0.03098116673675104,0.08684082095428365
2014,Andhra Pradesh,Achanta,159616,130599,81.82,57975,12,48.66,-1.5800000000000125,81.60666666666667,1.9089613231632958,0.19162683660824908,0.016642089740889116,0.0354598481865446,0.03480772419524626,0.09221610362239992
2019,Andhra Pradesh,Achanta,174308,138747,79.6,39615,14,47.92,-2.219999999999999,81.60666666666667,1.9089613231632958,0.19162683660824908,0.023383189382768052,0.0354598481865446,0.03807100386672361,0.09456476148211132
2009,Andhra Pradesh,Addanki,204732,173491,84.74,59035,12,49.59,,88.13333333333333,2.9631795985618803,0.10497433174013104,0.0,0.05504244504040287,0.024557354570693076,0.0554539571612023
2014,Andhra Pradesh,Addanki,220531,198944,90.21,93915,10,50.03,5.469999999999999,88.13333333333333,2.9631795985618803,0.10497433174013104,0.0,0.05504244504040287,0.026479692625186898,0.05564619096665168
2019,Andhra Pradesh,Addanki,231977,207501,89.45,88179,11,50.86,-0.7599999999999909,88.13333333333333,2.9631795985618803,0.10497433174013104,0.008005055824731313,0.05504244504040287,0.027872380856830446,0.05818697653723544
2009,Andhra Pradesh,Adilabad,177743,119852,67.43,29649,14,51.93,,67.61500000000001,0.2616295090390107,0.3773898035050449,0.0,0.00485989032835419,0.07647958478511467,0.15957585794620027
2012,Andhra Pradesh,Adilabad,177743,120502,67.8,31396,6,49.34,0.36999999999999034,67.61500000000001,0.2616295090390107,0.3773898035050449,0.0,0.00485989032835419,0.07647958478511467,0.15957585794620027
2009,Andhra Pradesh,Adoni,201571,116604,57.85,27121,11,38.84,,62.99333333333334,4.455068274822887,0.43875022127810215,0.0,0.08275497401075275,0.10103227393770207,0.20215431070716164
2014,Andhra Pradesh,Adoni,211357,138764,65.65,50566,10,51.97,7.800000000000004,62.99333333333334,4.455068274822887,0.43875022127810215,0.0,0.08275497401075275,0.10600895266519257,0.20265197857991069
2019,Andhra Pradesh,Adoni,240234,157298,65.48,49892,12,47.11,-0.1700000000000017,62.99333333333334,4.455068274822887,0.43875022127810215,0.001790604592374149,0.08275497401075275,0.12069437588343729,0.2046577022794474
2009,Andhra Pradesh,Alair,225352,168882,74.94,37344,18,39.62,,74.94,,0.28013807753584696,0.0,0.0,0.07223001331990422,0.11927823234632921
2009,Andhra Pradesh,Alampur,188729,129361,68.54,33990,20,38.44,,68.54,,0.36510886882634075,0.0,0.0,0.07864001171799669,0.15390754870233597
2009,Andhra Pradesh,Allagadda,200691,153847,76.66,35797,13,40.01,,80.7125,3.772456096497342,0.20349840679766318,0.0,0.07007513397418237,0.04665259460523655,0.10007964897442541
2012,Andhra Pradesh,Allagadda,200691,168365,83.89,36795,16,52.68,7.230000000000004,80.7125,3.772456096497342,0.20349840679766318,0.0,0.07007513397418237,0.04665259460523655,0.10007964897442541
2014,Andhra Pradesh,Allagadda,221178,173270,78.34,71352,8,53.16,-5.549999999999997,80.7125,3.772456096497342,0.20349840679766318,0.05845797345692013,0.07007513397418237,0.05148492284560361,0.11810027383553816
2019,Andhra Pradesh,Allagadda,221164,185693,83.96,67666,16,57.03,5.61999999999999,80.7125,3.772456096497342,0.20349840679766318,0.0,0.07007513397418237,0.051481620624909255,0.10056255157639268
2009,Andhra Pradesh,Alur,196585,139740,71.08,13447,12,30.85,,75.77333333333333,4.525553373161495,0.2690741724198973,0.0,0.08406426763350622,0.0604054435354764,0.1304830668482078
2014,Andhra Pradesh,Alur,219023,166743,76.13,45354,11,41.66,5.049999999999997,75.77333333333333,4.525553373161495,0.2690741724198973,0.0,0.08406426763350622,0.06740343168118518,0.13118286566277867
2019,Andhra Pradesh,Alur,236320,189321,80.11,63666,11,56.57,3.980000000000004,75.77333333333333,4.525553373161495,0.2690741724198973,0.0,0.08406426763350622,0.07279803908631596,0.13172232640329176
2009,Andhra Pradesh,Amadalavalasa,159912,119531,74.75,26169,8,40.26,,77.01333333333334,2.1892083805187044,0.252611081607364,0.0,0.040665568170478804,0.0459717700238645,0.11377472327942781
2014,Andhra Pradesh,Amadalavalasa,173788,134111,77.17,54866,9,48.64,2.4200000000000017,77.01333333333334,2.1892083805187044,0.252611081607364,0.0,0.040665568170478804,0.05003464758966462,0.11418101103600782
2019,Andhra Pradesh,Amadalavalasa,189677,150071,79.12,60626,7,51.91,1.9500000000000028,77.01333333333334,2.1892083805187044,0.252611081607364,0.0,0.040665568170478804,0.054686929345429826,0.11464623921158434
2009,Andhra Pradesh,Amalapuram,173208,138056,79.71,28464,8,41.96,,80.37333333333333,2.4823846062472548,0.20800141617985468,0.0,0.04611145349570456,0.041058982807331446,0.09652875545181593
